,Ind_id,Gender,Car_Owner,Propert_Owner,Children,Annual_income,Type_Income,Education,Marital_status,Housing_type,Age,Employed_exp,Mobile_phone,Work_Phone,Phone,Email_id,Type_Occupation,Family_Members,label
0,5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51.0,0.0,1,0,0,0,other,2,1
1,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,1,0,other,2,1
2,5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,44.0,2.0,1,1,1,0,other,2,1
3,5009749,F,Y,N,0,191399.3262295082,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,1,0,other,2,1
4,5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,1,0,other,2,1
6,5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.0,2.0,1,1,1,0,other,2,1
7,5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,61.0,0.0,1,0,0,0,other,2,1
8,5010864,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,50.0,2.0,1,0,1,1,Core staff,3,1
9,5010868,M,Y,Y,1,450000.0,Pensioner,Secondary / secondary special,Married,House / apartment,50.0,2.0,1,0,1,1,Core staff,3,1
10,5010869,M,Y,Y,1,450000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,50.0,2.0,1,0,1,1,Core staff,1,1
11,5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,1,0,Cooking staff,2,1
12,5018501,F,Y,Y,0,191399.3262295082,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,1,0,Cooking staff,2,1
13,5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,52.0,3.0,1,1,1,0,Cooking staff,2,1
14,5021303,M,N,N,1,472500.0,Pensioner,Higher education,Married,With parents,24.0,3.0,1,0,0,1,other,3,1
15,5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,46.0,1.0,1,0,0,0,Laborers,2,1
16,5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.0,1.0,1,0,0,0,Laborers,2,1
17,5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,52.0,7.0,1,0,0,0,Sales staff,1,1
18,5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,52.0,7.0,1,0,0,0,Sales staff,1,1
19,5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,52.0,5.0,1,0,0,1,other,2,1
20,5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,35.0,12.0,1,0,0,0,other,1,1
21,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,33.0,5.0,1,0,0,1,Laborers,2,1
22,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,49.0,3.0,1,0,0,0,Accountants,2,1
23,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.0,3.0,1,0,0,0,Sales staff,4,1
24,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,44.0,2.0,1,0,0,0,Laborers,2,1
25,5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,43.0,1.0,1,0,1,0,other,2,1
26,5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.0,0.0,1,0,1,0,other,2,1
